iter	Passed	Remaining
909	1324	130
910	1325	129
911	1326	127
912	1327	126
913	1328	125
914	1330	123
915	1331	122
916	1332	120
917	1333	119
918	1335	117
919	1336	116
920	1337	114
921	1339	113
922	1340	111
923	1341	110
924	1342	108
925	1343	107
926	1345	105
927	1346	104
928	1347	102
929	1348	101
930	1349	100
931	1351	98
932	1352	97
933	1354	95
934	1355	94
935	1356	92
936	1357	91
937	1359	89
938	1360	88
939	1361	86
940	1363	85
941	1364	84
942	1365	82
943	1367	81
944	1368	79
945	1370	78
946	1371	76
947	1373	75
948	1375	73
949	1376	72
950	1378	71
951	1379	69
952	1381	68
953	1382	66
954	1384	65
955	1385	63
956	1387	62
957	1388	60
958	1390	59
959	1391	57
960	1393	56
961	1394	55
962	1396	53
963	1397	52
964	1398	50
965	1400	49
966	1401	47
967	1403	46
968	1404	44
969	1405	43
970	1407	42
971	1408	40
972	1410	39
973	1411	37
974	1413	36
975	1415	34
976	1416	33
977	1418	31
978	1419	30
979	1420	28
980	1422	27
981	1423	26
982	1425	24
983	1426	23
984	1427	21
985	1429	20
986	1430	18
987	1431	17
988	1433	15
989	1434	14
990	1435	13
991	1437	11
992	1438	10
993	1440	8
994	1441	7
995	1443	5
996	1444	4
997	1446	2
998	1447	1
999	1449	0
